OriginalContentRepo,OriginalContentBranch
microsoftdocs/officedocs-officeonlineserver-pr,live
microsoftdocs/trace-processor-reference-docs,live
sharepoint/sp-dev-docs,live
microsoftdocs/qna-navigation,live
microsoftdocs/security,live
azure/azure-docs-powershell-servicefabric,live
xamarin/essentials,live
microsoftdocs/cyclecloud,live
microsoftdocs/dynamics365-2020w2-releaseplan-pr,live
sharepoint/sp-dev-docs-client-spo-ref-dotnet,live
microsoftdocs/office-developer-lync-wfp-ref-dotnet,live
microsoftdocs/bonsai-api-python-pr,live
microsoftdocs/powerbi-docs-javascript,live
microsoftdocs/project-rome-java-api-docs,live
microsoftdocs/systemcenter-docs-powershell,live
microsoftdocs/azure-projectfreta-python-api,live
microsoftdocs/graph-docs-sdk-dotnet,live
microsoftdocs/azure-rmsdocs-pr,live
microsoftdocs/office-developer-office-pia-ref-dotnet,live
microsoftdocs/query-docs-pr,live
microsoftdocs/accessibility-tools-docs,live
microsoftdocs/mdop-docs-pr,live
microsoftdocs/python-northstar,live
microsoftdocs/azure-docs-sdk-python,fa57006b037b412ef889e09f38cd033816c215e1
microsoftdocs/azure-docs-sdk-python,43c2a1309595eb0922284cb34c91008b4a0d4c5f
microsoftdocs/azure-devops-docs-sdk-web,live
microsoftdocs/services-hub-docs,live
microsoftdocs/azure-china-pr,live
microsoftdocs/mlnet-pr,live
microsoftdocs/power-automate-docs-pr,live
microsoftdocs/winrt-related-pr,live
microsoftdocs/gestures-docs,live
microsoftdocs/gestures-docs-pr,live
microsoft/secmgmt-open-powershell,master
microsoftdocs/secmgmt-open-powershell-docs,live
microsoftdocs/hybrid-pr,live
microsoftdocs/bing-webmaster-dotnet,live
microsoftdocs/sysinternals,live
microsoftdocs/microsoft-academic-services,live
microsoftdocs/docsmedia,live
microsoftdocs/seller-center,live
microsoftdocs/office-developer-exchange-ews-managed-api-ref-dotnet,live
dotnet/automl-api-docs,live
microsoftdocs/officedocs-alchemyinsights-pr,live
officedev/office-store-docs,live
dotnet/dotnet-api-docs,master
microsoftdocs/bi-shared-docs-pr,live
microsoftdocs/azure-dev-docs-pr,live
azure/azure-docs-sdk-dotnet,master
microsoftdocs/office-developer-client-docs,live
microsoftdocs/officedocs-o365seccomp-pr,live
microsoftdocs/xamarin-engineering-docs-pr,live
microsoftdocs/playfab-docs-pr,live
microsoftdocs/microsoft-365-community,live
microsoftdocs/vsts-docs-cli-python,live
microsoft/vsts-cli,master
microsoftdocs/officedocs-sharepoint-pr,live
microsoftdocs/officedocs-workplaceanalytics-pr,live
microsoftdocs/officedocs-fasttrack-pr,live
microsoftdocs/appcenter-docs-pr,live
microsoftdocs/project-rome,live
microsoftdocs/officedocs-pr,cf6bb749f80eb1839ec723b67c30be44ca39f4ea
microsoftdocs/flow-docs-pr,live
microsoftdocs/stream-docs-pr,live
microsoftdocs/officedocs-deployoffice-pr,live
microsoftdocs/partner-center-pr,live
microsoftdocs/prose-py-api-docs,live
microsoftdocs/events,live
microsoftdocs/msteams-docs,live
microsoftdocs/azure-docs-objective-c-spatial-anchors-pr,live
microsoftdocs/windows-vision-skills-api-pr,live
microsoftdocs/botbuilder-docs-sdk-typescript,live
microsoftdocs/pyapi,live
microsoftdocs/docslegal-pr,live
microsoftdocs/power-platform-pr,live
microsoftdocs/mixedreality-enthusiast-guide,live
microsoftdocs/botbuilder-docs-sdk-python,live
microsoftdocs/azure-resource-manager-schema-reference-pr,live
microsoftdocs/kusto,live
microsoftdocs/data-integration-pr,live
microsoftdocs/cloudappsecuritydocs-pr,live
microsoftdocs/navdevitpro-content-pr,live
microsoftdocs/hololens-pr,live
microsoftdocs/office-developer-lync-persistent-chat-ref-dotnet,live
microsoftdocs/vs-streamjsonrpc-docs,live
microsoftdocs/adaptivecards,live
microsoftdocs/connected-store-pr,live
microsoftdocs/opsmgr-docs-rest-apis,live
microsoftdocs/adfs-dotnet-pr,live
microsoftdocs/iis.administration-docs,live
microsoftdocs/open_specs_ie,live
microsoftdocs/azure-iot-docs-sdk-typescript,live
microsoftdocs/licensing-pr,live
microsoftdocs/sandbox,live
microsoftdocs/kaizala-docs-rest-apis,live
microsoftdocs/msonlinebackup-docs-powershell-pr,live
microsoftdocs/office-developer-lync-evergreen-docs,live
microsoftdocs/azure-docs-objective-c-cognitive-services-pr,live
microsoftdocs/cognitive-toolkit-docs,live
microsoftdocs/powerbi-rest-api-docs-pr,live
microsoftdocs/python-quantum,live
microsoftdocs/iis-dotnet-sdk-docs-pr,live
microsoftdocs/samplespages,live
microsoftdocs/office-developer-lync-client-ref-dotnet,live
microsoftdocs/azure-spatialanchors-sdk-unity-pr,live
microsoftdocs/officedocs-pr,0529f89b9c05ba842fc0301966100616b8cec42b
microsoftdocs/spark-dotnet-pr,live
microsoftdocs/virtual-desktop-powershell-docs,live
microsoftdocs/msdnfiles,live
microsoftdocs/powerapps-docs-powershell-pr,live
microsoftdocs/azure-docs-cpp-spatial-anchors-pr,live
microsoftdocs/powerbi-docs-powershell,live
microsoftdocs/azure-devops-server-docs-pr,live
microsoftdocs/azure-remote-rendering-dotnet,live
